,existingchecking,statussex,sex,maritalStatus,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification
88,1,A93,1,0,18,1,1,2249,1,2,4,0,3,3,30,0,1,1,3,2,1,1,1
89,1,A93,1,0,12,1,5,1108,1,2,4,0,3,1,28,0,1,2,2,1,0,1,0
90,0,A93,1,0,12,3,3,618,1,2,4,0,4,1,56,0,1,1,2,1,0,1,1
91,1,A93,1,0,12,3,1,1409,1,2,4,0,3,1,54,0,1,1,2,1,0,1,1
92,0,A92,0,1,12,3,3,797,3,2,4,0,3,2,33,2,1,1,1,2,0,1,0
93,3,A93,1,0,24,3,2,3617,3,2,4,1,4,0,20,0,0,2,2,1,0,1,1
94,2,A93,1,0,12,1,1,1318,2,2,4,0,4,1,54,0,1,1,2,1,1,1,1
95,2,A93,1,0,54,1,9,15945,1,1,3,0,4,0,58,0,0,1,2,1,1,1,0
96,0,A92,0,1,12,3,6,2012,3,2,4,0,2,3,61,0,1,1,2,1,0,1,1
97,2,A93,1,0,18,1,9,2622,1,1,4,0,4,3,34,0,1,1,2,1,0,1,1
98,2,A93,1,0,36,3,3,2337,1,2,4,0,4,1,36,0,1,1,2,1,0,1,1
99,2,A93,1,0,20,2,1,7057,3,2,3,0,4,2,36,2,0,2,3,2,1,1,1
100,0,A94,1,1,24,1,1,1469,1,2,4,0,4,1,41,0,0,1,1,1,0,1,1
101,2,A93,1,0,36,1,3,2323,1,2,4,0,4,3,24,0,0,1,2,1,0,1,1
102,0,A92,0,1,6,2,3,932,1,1,3,0,2,1,24,0,1,1,2,1,0,1,1
103,2,A93,1,0,9,3,2,1919,1,2,4,0,3,3,35,0,0,1,2,1,1,1,1
104,0,A94,1,1,12,1,1,2445,3,1,2,0,4,3,26,0,0,1,2,1,1,1,1
105,2,A93,1,0,24,3,0,11938,1,1,2,1,3,3,39,0,1,2,3,2,1,1,0
106,0,A93,1,0,18,1,1,6458,1,2,2,0,4,0,39,2,1,2,3,2,1,1,0
107,2,A93,1,0,12,1,1,6078,1,2,2,0,2,3,32,0,1,1,2,1,0,1,1
108,1,A92,0,1,24,1,2,7721,3,1,1,0,2,2,30,0,1,1,2,1,1,0,1
109,2,A94,1,1,14,1,9,1410,2,2,1,0,2,1,35,0,1,1,2,1,1,1,1
110,2,A91,1,1,6,2,9,1449,1,2,1,0,2,3,31,2,1,2,2,2,0,1,1
111,3,A92,0,1,15,1,6,392,1,1,4,0,4,2,23,0,0,1,2,1,1,1,1
112,2,A93,1,0,18,1,1,6260,1,2,3,0,3,1,28,0,0,1,1,1,0,1,1
113,0,A92,0,1,36,3,1,7855,1,1,4,0,2,1,25,1,1,2,2,1,1,1,0
114,1,A94,1,1,12,1,3,1680,2,2,3,0,1,1,35,0,1,1,2,1,0,1,1
115,0,A93,1,0,48,3,3,3578,3,2,4,0,1,1,47,0,1,1,2,1,1,1,1
116,1,A92,0,1,42,1,3,7174,3,2,4,0,3,3,30,0,1,1,3,1,1,1,0
117,1,A92,0,1,10,3,2,2132,3,1,2,1,3,1,27,0,0,2,2,1,0,0,1
118,1,A92,0,1,33,3,2,4281,2,1,1,0,4,3,23,0,1,2,2,1,0,1,0
119,2,A91,1,1,12,3,1,2366,2,2,3,0,3,3,36,0,1,1,3,1,1,1,1
120,1,A92,0,1,21,1,3,1835,1,1,3,0,2,1,25,0,1,2,2,1,1,1,0
121,0,A92,0,1,24,3,1,3868,1,2,4,0,2,3,41,0,0,2,3,1,1,1,1
122,0,A93,1,0,12,1,2,1768,1,1,3,0,2,1,24,0,0,1,1,1,0,1,1
123,3,A93,1,0,10,3,1,781,1,2,4,0,4,0,63,0,2,2,2,1,1,1,1
124,2,A92,0,1,18,1,2,1924,3,1,4,0,3,1,27,0,0,1,2,1,0,1,0
125,1,A93,1,0,12,3,1,2121,1,1,4,0,2,2,30,0,1,2,2,1,0,1,1
126,1,A94,1,1,12,1,3,701,1,1,4,0,2,1,40,0,1,1,1,1,0,1,1
127,2,A93,1,0,12,1,5,639,1,1,4,0,2,3,30,0,1,1,2,1,0,1,0
128,2,A93,1,0,12,3,1,1860,1,3,4,0,2,3,34,0,1,2,3,1,1,1,1
129,1,A92,0,1,12,3,1,3499,1,1,3,1,2,1,29,0,1,2,2,1,0,1,0
130,2,A92,0,1,48,1,1,8487,3,2,1,0,2,3,24,0,1,1,2,1,0,1,1
131,1,A93,1,0,36,2,6,6887,1,1,4,0,3,2,29,1,1,1,2,1,1,1,0
132,0,A93,1,0,15,1,2,2708,1,1,2,0,3,2,27,2,1,2,1,1,0,1,1
133,0,A93,1,0,18,1,2,1984,1,1,4,0,4,0,47,2,2,2,2,1,0,1,1
134,0,A92,0,1,60,1,3,10144,1,2,2,0,4,1,21,0,1,1,2,1,1,1,1
135,0,A92,0,1,12,3,3,1240,3,2,4,0,2,1,38,0,1,2,2,1,1,1,1
136,0,A93,1,0,27,2,1,8613,2,1,2,0,2,3,27,0,1,2,2,1,0,1,1
137,2,A93,1,0,12,1,3,766,2,1,4,0,3,1,66,0,1,1,1,1,0,1,0
138,2,A93,1,0,15,3,3,2728,3,2,4,2,2,1,35,2,1,3,2,1,1,1,1
139,3,A92,0,1,12,1,3,1881,1,1,2,0,2,3,44,0,0,1,1,1,1,1,1
140,3,A94,1,1,6,1,1,709,2,1,2,0,2,1,27,0,1,1,0,1,0,0,1
141,2,A92,0,1,36,1,3,4795,1,1,4,0,1,0,30,0,1,1,3,1,1,1,1
142,1,A93,1,0,27,1,3,3416,1,1,3,0,2,3,27,0,1,1,3,1,0,1,1
143,1,A93,1,0,18,1,2,2462,1,1,2,0,2,3,22,0,1,1,2,1,0,1,0
144,0,A92,0,1,21,3,2,2288,1,1,4,0,4,2,23,0,1,1,2,1,1,1,1
145,2,A93,1,0,48,1,9,3566,1,2,4,0,2,3,30,0,1,1,2,1,0,1,1
146,1,A92,0,1,6,3,1,860,1,2,1,0,4,0,39,0,1,2,2,1,1,1,1
147,0,A92,0,1,12,3,1,682,1,2,4,0,3,3,51,0,1,2,2,1,1,1,1
148,1,A93,1,0,36,3,2,5371,1,1,3,2,2,2,28,0,1,2,2,1,0,1,1
149,0,A93,1,0,18,3,3,1582,2,2,4,0,4,3,46,0,1,2,2,1,0,1,1
150,0,A93,1,0,6,1,3,1346,1,2,2,0,4,0,42,2,2,1,2,2,1,1,1
151,0,A93,1,0,10,1,3,1924,1,1,1,0,4,2,38,0,1,1,2,1,1,0,1
152,3,A93,1,0,36,1,3,5848,1,1,4,0,1,3,24,0,1,1,2,1,0,1,1
153,2,A92,0,1,24,3,1,7758,2,2,2,0,4,0,29,0,0,1,2,1,0,1,1
154,2,A93,1,0,24,2,9,6967,1,2,4,0,4,3,36,0,0,1,3,1,1,1,1
155,1,A92,0,1,12,1,2,1282,1,1,2,0,4,3,20,0,0,1,2,1,0,1,0
156,1,A93,1,0,9,3,5,1288,1,2,3,2,4,1,48,0,1,2,2,2,0,0,1
157,1,A94,1,1,12,1,8,339,1,2,4,0,1,3,45,2,1,1,1,1,0,1,1
158,2,A93,1,0,24,1,1,3512,1,2,2,0,3,3,38,2,1,2,2,1,1,1,1
159,0,A93,1,0,6,3,3,1898,3,1,1,0,2,1,34,0,1,2,1,2,0,1,1
160,0,A93,1,0,24,3,3,2872,1,2,3,0,4,1,36,0,1,1,2,2,1,1,1
161,0,A92,0,1,18,3,1,1055,1,1,4,0,1,2,30,0,1,2,2,1,0,1,1
162,0,A93,1,0,15,1,4,1262,2,2,4,0,3,2,36,0,1,2,2,1,1,1,1
163,2,A93,1,0,10,1,1,7308,1,3,2,0,4,0,70,2,2,1,3,1,1,1,1
164,0,A93,1,0,36,1,1,909,2,2,4,0,4,2,36,0,1,1,2,1,0,1,1
165,0,A93,1,0,6,1,2,2978,2,1,1,0,2,3,32,0,1,1,2,1,1,1,1
166,1,A92,0,1,18,1,2,1131,1,3,4,0,2,3,33,0,1,1,2,1,0,1,0
167,2,A92,0,1,11,1,2,1577,2,1,4,0,1,1,20,0,1,1,2,1,0,1,1
168,0,A92,0,1,24,1,2,3972,1,2,2,0,4,2,25,0,0,1,2,1,1,1,1
169,2,A91,1,1,24,3,9,1935,1,2,4,0,4,1,31,0,1,2,2,1,1,1,0
170,1,A93,1,0,15,1,1,950,1,2,4,0,3,3,33,0,0,2,2,2,0,1,0
171,0,A92,0,1,12,1,2,763,1,1,4,0,1,1,26,0,1,1,2,1,1,1,1
172,2,A92,0,1,24,2,2,2064,1,3,3,0,2,2,34,0,1,1,3,1,1,1,0
173,2,A93,1,0,8,1,3,1414,1,1,4,2,2,1,33,0,1,1,2,1,0,0,1
174,1,A93,1,0,21,2,6,3414,1,1,2,0,1,2,26,0,1,2,2,1,0,1,0
175,0,A92,0,1,30,1,1,7485,3,3,4,0,1,1,53,2,1,1,3,1,1,1,0
176,1,A91,1,1,12,1,2,2577,1,1,2,0,1,3,42,0,1,1,2,1,0,1,1
177,1,A93,1,0,6,3,3,338,2,2,4,0,4,3,52,0,1,2,2,1,0,1,1
178,0,A93,1,0,12,1,3,1963,1,2,4,0,2,3,31,0,0,2,3,2,1,1,1
179,1,A93,1,0,21,3,1,571,1,2,4,0,4,1,65,0,1,2,2,1,0,1,1
180,0,A91,1,1,36,2,9,9572,1,1,1,0,1,3,28,0,1,2,2,1,0,1,0
181,2,A91,1,1,36,2,9,4455,1,1,2,0,2,1,30,1,1,2,3,1,1,1,0
182,1,A93,1,0,21,1,1,1647,3,1,4,0,2,2,40,0,1,2,1,2,0,1,0
183,0,A93,1,0,24,3,2,3777,2,1,4,0,4,1,50,0,1,1,2,1,1,1,1
184,2,A93,1,0,18,3,1,884,1,2,4,0,4,3,36,2,1,1,2,2,1,1,0
185,0,A93,1,0,15,3,3,1360,1,1,4,0,2,2,31,0,1,2,2,1,0,1,1
186,2,A92,0,1,9,1,1,5129,1,2,2,0,4,0,74,2,2,1,3,2,1,1,0
187,2,A93,1,0,16,3,1,1175,1,3,2,0,3,3,68,0,2,3,0,1,1,1,1
188,1,A94,1,1,12,1,3,674,1,2,4,0,1,2,20,0,1,1,2,1,0,1,0
189,2,A92,0,1,18,1,2,3244,1,1,1,0,4,3,33,2,1,2,2,1,1,1,1
190,0,A93,1,0,24,1,9,4591,2,1,2,0,3,2,54,0,1,3,3,1,1,1,0
191,2,A93,1,0,48,1,9,3844,1,2,4,0,4,0,34,0,2,1,1,2,0,1,0
192,2,A93,1,0,27,1,9,3915,1,1,4,0,2,3,36,0,1,1,2,2,1,1,0
193,0,A94,1,1,6,1,3,2108,1,2,2,0,2,1,29,0,0,1,2,1,0,1,1
194,2,A93,1,0,45,1,3,3031,1,1,4,2,4,2,21,0,0,1,2,1,0,1,0
195,2,A92,0,1,9,3,6,1501,1,2,2,0,3,3,34,0,1,2,3,1,1,1,0
196,0,A92,0,1,6,3,3,1382,1,1,1,0,1,3,28,0,1,2,2,1,1,1,1
197,2,A92,0,1,12,1,2,951,1,1,4,0,4,3,27,2,0,4,2,1,0,1,0
198,2,A93,1,0,24,1,1,2760,3,2,4,0,4,0,36,2,2,1,2,1,1,1,1
199,2,A91,1,1,18,2,2,4297,1,2,4,0,3,0,40,0,1,1,3,1,1,1,0
200,0,A93,1,0,9,3,6,936,2,2,4,0,2,3,52,0,1,2,2,1,1,1,1
201,1,A94,1,1,12,1,1,1168,1,1,4,0,3,1,27,0,1,1,1,1,0,1,1
202,0,A93,1,0,27,2,9,5117,1,2,3,0,4,3,26,0,1,2,2,1,0,1,1
203,1,A94,1,1,12,1,8,902,1,2,4,0,4,2,21,0,0,1,2,1,0,1,0
204,0,A93,1,0,12,3,1,1495,1,2,4,0,1,1,38,0,1,2,1,2,0,1,1
205,1,A93,1,0,30,3,1,10623,1,2,3,0,4,0,38,0,2,3,3,2,1,1,1
206,0,A93,1,0,12,3,2,1935,1,2,4,0,4,1,43,0,1,3,2,1,1,1,1
207,2,A93,1,0,12,3,4,1424,1,2,4,0,3,2,26,0,1,1,2,1,0,1,1
208,1,A94,1,1,24,1,9,6568,1,1,2,0,2,3,21,1,1,1,1,1,0,1,1
209,0,A93,1,0,12,1,1,1413,2,2,3,0,2,2,55,0,1,1,2,1,0,0,1
210,0,A93,1,0,9,3,3,3074,3,1,1,0,2,1,33,0,1,2,2,2,0,1,1
211,0,A92,0,1,36,1,3,3835,3,2,2,0,4,1,45,0,1,1,1,1,1,1,1
212,1,A93,1,0,27,1,9,5293,1,3,2,0,4,2,50,1,1,2,2,1,1,1,0
213,3,A93,1,0,30,2,9,1908,1,2,4,0,4,1,66,0,1,1,3,1,1,1,0
214,0,A93,1,0,36,3,3,3342,3,2,4,0,2,3,51,0,1,1,2,1,1,1,1
215,2,A92,0,1,6,3,8,932,3,2,1,0,3,2,39,0,1,2,1,1,0,1,1
216,1,A93,1,0,18,1,9,3104,1,2,3,0,1,2,31,2,1,1,2,1,1,1,1
217,3,A93,1,0,36,1,3,3913,1,1,2,0,2,1,23,0,1,1,2,1,1,1,1
218,1,A91,1,1,24,1,2,3021,1,1,2,0,2,1,24,0,0,1,1,1,0,1,1
219,0,A92,0,1,10,1,1,1364,1,1,2,0,4,3,64,0,1,1,2,1,1,1,1
220,2,A94,1,1,12,1,3,625,1,1,4,2,1,1,26,2,1,1,1,1,0,1,1
221,1,A92,0,1,12,1,6,1200,3,1,4,0,4,2,23,2,0,1,2,1,1,1,1
222,0,A93,1,0,12,1,3,707,1,1,4,0,2,1,30,2,1,2,2,1,0,1,1
223,0,A93,1,0,24,2,9,2978,3,1,4,0,4,1,32,0,1,2,2,2,1,1,1
224,0,A93,1,0,15,1,1,4657,1,1,3,0,2,3,30,0,1,1,2,1,1,1,1
225,0,A93,1,0,36,1,5,2613,1,1,4,0,2,3,27,0,1,2,2,1,0,1,1
226,2,A93,1,0,48,1,3,10961,2,2,1,1,2,0,27,2,1,2,2,1,1,1,0
227,1,A93,1,0,12,1,2,7865,1,2,4,0,4,0,53,0,2,1,3,1,1,1,0
228,0,A93,1,0,9,1,3,1478,1,2,4,0,2,3,22,0,1,1,2,1,0,1,0
229,1,A93,1,0,24,1,2,3149,1,1,4,0,1,0,22,2,2,1,2,1,0,1,1
230,3,A93,1,0,36,1,3,4210,1,1,4,0,2,3,26,0,1,1,2,1,0,1,0
231,0,A93,1,0,9,1,1,2507,2,2,2,0,4,0,51,0,2,1,1,1,0,1,1
232,0,A93,1,0,12,1,3,2141,1,2,3,0,1,0,35,0,1,1,2,1,0,1,1
233,2,A94,1,1,18,1,3,866,1,1,4,2,2,1,25,0,1,1,1,1,0,1,1
234,0,A93,1,0,4,3,3,1544,1,2,2,0,1,1,42,0,1,3,1,2,0,1,1
235,1,A93,1,0,24,1,3,1823,1,3,4,0,2,3,30,1,1,1,3,2,0,1,0
236,2,A93,1,0,6,1,1,14555,3,3,1,0,2,2,23,0,1,1,0,1,1,1,0
237,2,A91,1,1,21,1,9,2767,1,2,4,0,2,3,61,2,0,2,1,1,0,1,0
238,0,A92,0,1,12,3,3,1291,1,1,4,0,2,2,35,0,1,2,2,1,0,1,1
239,1,A93,1,0,30,1,3,2522,1,2,1,2,3,2,39,0,1,1,2,2,0,1,1
240,1,A92,0,1,24,1,1,915,3,2,4,0,2,3,29,2,1,1,2,1,0,1,0
241,0,A93,1,0,6,1,3,1595,1,2,3,0,2,2,51,0,1,1,2,2,0,1,1
242,1,A93,1,0,48,1,1,4605,1,2,3,0,4,0,24,0,2,2,2,2,0,1,0
243,0,A92,0,1,12,3,9,1185,1,1,3,0,2,1,27,0,1,2,2,1,0,1,1
244,0,A92,0,1,12,1,8,3447,2,1,4,0,3,1,35,0,1,1,1,2,0,1,1
245,0,A93,1,0,24,1,9,1258,1,2,4,0,1,1,25,0,1,1,2,1,1,1,1
246,0,A93,1,0,12,3,3,717,1,2,4,0,4,1,52,0,1,3,2,1,0,1,1
247,0,A93,1,0,6,1,1,1204,1,1,4,0,1,0,35,2,0,1,2,1,0,0,1
248,3,A93,1,0,24,1,2,1925,1,1,2,0,2,1,26,0,1,1,2,1,0,1,1
249,0,A92,0,1,18,1,3,433,1,3,3,1,4,1,22,0,0,1,2,1,0,1,0
250,1,A92,0,1,6,3,1,666,2,2,3,0,4,1,39,0,1,2,1,1,1,1,1
251,3,A92,0,1,12,1,2,2251,1,1,1,0,2,3,46,0,1,1,1,1,0,1,1
252,2,A92,0,1,30,1,1,2150,1,1,4,2,2,0,24,2,1,1,2,1,0,1,0
253,0,A93,1,0,24,2,2,4151,1,1,2,0,3,2,35,0,1,2,2,1,0,1,1
254,2,A93,1,0,9,1,2,2030,3,2,2,0,1,3,24,0,1,1,2,1,1,1,1
255,2,A93,1,0,60,2,3,7418,3,1,1,0,1,1,27,0,1,1,1,1,0,1,1
256,0,A93,1,0,24,3,3,2684,1,1,4,0,2,1,35,0,1,2,1,1,0,1,1
257,1,A91,1,1,12,1,3,2149,1,1,4,0,1,0,29,0,2,1,2,1,0,1,0
258,0,A92,0,1,15,1,1,3812,1,1,1,0,4,3,23,0,1,1,2,1,1,1,1
259,0,A92,0,1,11,3,3,1154,1,3,4,0,4,1,57,0,1,3,1,1,0,1,1
260,1,A93,1,0,12,1,2,1657,1,1,2,0,2,1,27,0,1,1,2,1,0,1,1
261,1,A92,0,1,24,1,3,1603,1,2,4,0,4,3,55,0,1,1,2,1,0,1,1
262,1,A93,1,0,18,3,1,5302,1,2,2,0,4,0,36,0,2,3,3,1,1,1,1
263,0,A92,0,1,12,3,6,2748,1,2,2,0,4,0,57,2,2,3,1,1,0,1,1
264,0,A93,1,0,10,3,1,1231,1,2,3,0,4,1,32,0,1,2,1,2,0,0,1
265,2,A93,1,0,15,1,3,802,1,2,4,0,3,3,37,0,1,1,2,2,0,1,0
266,0,A93,1,0,36,3,9,6304,3,2,4,0,4,1,36,0,1,2,2,1,0,1,1
267,0,A92,0,1,24,1,3,1533,1,1,4,0,3,3,38,1,1,1,2,1,1,1,1
268,1,A91,1,1,14,1,1,8978,1,2,1,0,4,2,45,0,1,1,3,1,1,0,0
269,0,A93,1,0,24,1,3,999,3,2,4,0,2,3,25,0,1,2,2,1,0,1,1
270,0,A93,1,0,18,1,1,2662,3,2,4,0,3,2,32,0,1,1,2,1,0,0,1
271,0,A92,0,1,12,3,2,1402,2,2,3,0,4,3,37,0,0,1,2,1,1,1,1
272,2,A93,1,0,48,1,1,12169,3,3,4,1,4,0,36,0,2,1,3,1,1,1,1
273,2,A93,1,0,48,1,3,3060,1,2,4,0,4,1,28,0,1,2,2,1,0,1,0
274,1,A91,1,1,30,1,5,11998,1,1,1,0,1,0,34,0,1,1,1,1,1,1,0
275,0,A93,1,0,9,1,3,2697,1,1,1,0,2,1,32,0,1,1,2,2,0,1,1
