,existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification,maritalStatus,sex
42,2,18,3,repairs,6204,below100,betw1a4yrs,2,A93,none,4,realEstate,44,none,own,1,unskilled/resident,2,yes,1,1,0,M
43,1,30,4,car,6187,betw100a500,betw4a7yrs,1,A94,none,4,carOrOthers,24,none,rent,2,skilled/official,1,none,1,1,1,M
44,1,48,4,car,6143,below100,morethan7yrs,4,A92,none,4,unknown/noProperty,58,stores,forFree,2,unskilled/resident,1,none,1,2,1,F
45,0,11,4,car,1393,below100,lessth1yr,4,A92,none,4,carOrOthers,35,none,own,2,management/self-employed/highlyqualemployee/officer,1,none,1,1,1,F
46,0,36,2,radio/television,2299,betw500a1000,morethan7yrs,4,A93,none,4,carOrOthers,39,none,own,1,skilled/official,1,none,1,1,0,M
47,1,6,2,car,1352,betw500a1000,unemployed,1,A92,none,2,buildingSociety/lifeInsurance,23,none,rent,1,unemployed/unskilled/non-resident,1,yes,1,1,1,F
48,0,11,4,car,7228,below100,betw1a4yrs,1,A93,none,4,buildingSociety/lifeInsurance,39,none,own,2,unskilled/resident,1,none,1,1,0,M
49,0,12,2,radio/television,2073,betw100a500,betw1a4yrs,4,A92,co-applicant,2,realEstate,28,none,own,1,skilled/official,1,none,1,1,1,F
50,2,24,3,furniture/equipment,2333,unknown/nosavings,lessth1yr,4,A93,none,2,buildingSociety/lifeInsurance,29,bank,own,1,unskilled/resident,1,none,1,1,0,M
51,2,27,3,car,5965,below100,morethan7yrs,1,A93,none,2,carOrOthers,30,none,own,2,management/self-employed/highlyqualemployee/officer,1,yes,1,1,0,M
52,0,12,2,radio/television,1262,below100,betw1a4yrs,3,A93,none,2,carOrOthers,25,none,own,1,skilled/official,1,none,1,1,0,M
53,0,18,2,car,3378,unknown/nosavings,betw1a4yrs,2,A93,none,1,buildingSociety/lifeInsurance,31,none,own,1,skilled/official,1,yes,1,1,0,M
54,2,36,3,car,2225,below100,morethan7yrs,4,A93,none,4,unknown/noProperty,57,bank,forFree,2,skilled/official,1,yes,1,2,0,M
55,0,6,1,car,783,unknown/nosavings,betw1a4yrs,1,A93,guarantor,2,realEstate,26,stores,own,1,unskilled/resident,2,none,1,1,0,M
56,2,12,2,radio/television,6468,unknown/nosavings,unemployed,2,A93,none,1,unknown/noProperty,52,none,own,1,management/self-employed/highlyqualemployee/officer,1,yes,1,2,0,M
57,0,36,4,radio/television,9566,below100,betw1a4yrs,2,A92,none,2,carOrOthers,31,stores,own,2,skilled/official,1,none,1,1,1,F
58,3,18,2,car,1961,below100,morethan7yrs,3,A92,none,2,carOrOthers,23,none,own,1,management/self-employed/highlyqualemployee/officer,1,none,1,1,1,F
59,1,36,4,furniture/equipment,6229,below100,lessth1yr,4,A92,co-applicant,4,unknown/noProperty,23,none,rent,2,unskilled/resident,1,yes,1,2,1,F
60,2,9,2,business,1391,below100,betw1a4yrs,2,A94,none,1,realEstate,27,bank,own,1,skilled/official,1,yes,1,1,1,M
61,2,15,4,radio/television,1537,unknown/nosavings,morethan7yrs,4,A93,guarantor,4,realEstate,50,none,own,2,skilled/official,1,yes,1,1,0,M
62,2,36,0,business,1953,below100,morethan7yrs,4,A93,none,4,unknown/noProperty,61,none,forFree,1,management/self-employed/highlyqualemployee/officer,1,yes,1,2,0,M
63,2,48,0,business,14421,below100,betw1a4yrs,2,A93,none,2,carOrOthers,25,none,own,1,skilled/official,1,yes,1,2,0,M
64,0,24,2,radio/television,3181,below100,lessth1yr,4,A92,none,4,buildingSociety/lifeInsurance,26,none,own,1,skilled/official,1,yes,1,1,1,F
65,0,27,2,repairs,5190,unknown/nosavings,morethan7yrs,4,A93,none,4,buildingSociety/lifeInsurance,48,none,own,4,skilled/official,2,yes,1,1,0,M
66,0,12,2,radio/television,2171,below100,lessth1yr,2,A92,none,2,carOrOthers,29,bank,own,1,skilled/official,1,none,1,1,1,F
67,2,12,2,car,1007,above1000,betw1a4yrs,4,A94,none,1,realEstate,22,none,own,1,skilled/official,1,none,1,1,1,M
68,0,36,2,education,1819,below100,betw1a4yrs,4,A93,none,4,unknown/noProperty,37,stores,forFree,1,skilled/official,1,yes,1,2,0,M
69,0,36,2,radio/television,2394,unknown/nosavings,betw1a4yrs,4,A92,none,4,carOrOthers,25,none,own,1,skilled/official,1,none,1,1,1,F
70,0,36,2,car,8133,below100,betw1a4yrs,1,A92,none,2,buildingSociety/lifeInsurance,30,bank,own,1,skilled/official,1,none,1,1,1,F
71,0,7,4,radio/television,730,unknown/nosavings,morethan7yrs,4,A93,none,2,buildingSociety/lifeInsurance,46,none,rent,2,unskilled/resident,1,yes,1,1,0,M
72,1,8,4,others,1164,below100,morethan7yrs,3,A93,none,4,unknown/noProperty,51,bank,forFree,2,management/self-employed/highlyqualemployee/officer,2,yes,1,1,0,M
73,2,42,4,business,5954,below100,betw4a7yrs,2,A92,none,1,realEstate,41,bank,own,2,unskilled/resident,1,none,1,1,1,F
74,1,36,2,education,1977,unknown/nosavings,morethan7yrs,4,A93,none,4,unknown/noProperty,40,none,own,1,management/self-employed/highlyqualemployee/officer,1,yes,1,2,0,M
75,1,12,4,car,1526,below100,morethan7yrs,4,A93,none,4,unknown/noProperty,66,none,forFree,2,management/self-employed/highlyqualemployee/officer,1,none,1,1,0,M
76,1,42,2,radio/television,3965,below100,lessth1yr,4,A93,none,3,carOrOthers,34,none,own,1,skilled/official,1,none,1,2,0,M
77,2,11,3,radio/television,4771,below100,betw4a7yrs,2,A93,none,4,buildingSociety/lifeInsurance,51,none,own,1,skilled/official,1,none,1,1,0,M
78,0,54,0,car,9436,unknown/nosavings,betw1a4yrs,2,A93,none,2,buildingSociety/lifeInsurance,39,none,own,1,unskilled/resident,2,none,1,1,0,M
79,2,30,2,furniture/equipment,3832,below100,lessth1yr,2,A94,none,1,buildingSociety/lifeInsurance,22,none,own,1,skilled/official,1,none,1,1,1,M
80,0,24,2,radio/television,5943,unknown/nosavings,lessth1yr,1,A92,none,1,carOrOthers,44,none,own,2,skilled/official,1,yes,1,2,1,F
81,0,15,2,radio/television,1213,betw500a1000,morethan7yrs,4,A93,none,3,buildingSociety/lifeInsurance,47,stores,own,1,skilled/official,1,yes,1,1,0,M
82,0,18,2,business,1568,betw100a500,betw1a4yrs,3,A92,none,4,buildingSociety/lifeInsurance,24,none,rent,1,unskilled/resident,1,none,1,1,1,F
83,1,24,2,others,1755,below100,morethan7yrs,4,A92,guarantor,4,realEstate,58,none,own,1,unskilled/resident,1,yes,1,1,1,F
84,1,10,2,radio/television,2315,below100,morethan7yrs,3,A93,none,4,realEstate,52,none,own,1,unskilled/resident,1,none,1,1,0,M
85,0,12,4,business,1412,below100,betw1a4yrs,4,A92,guarantor,2,realEstate,29,none,own,2,management/self-employed/highlyqualemployee/officer,1,yes,1,1,1,F
86,2,18,4,furniture/equipment,1295,below100,lessth1yr,4,A92,none,1,buildingSociety/lifeInsurance,27,none,own,2,skilled/official,1,none,1,1,1,F
87,2,36,2,education,12612,betw100a500,betw1a4yrs,1,A93,none,4,unknown/noProperty,47,none,forFree,1,skilled/official,2,yes,1,2,0,M
88,1,18,2,car,2249,betw100a500,betw4a7yrs,4,A93,none,3,carOrOthers,30,none,own,1,management/self-employed/highlyqualemployee/officer,2,yes,1,1,0,M
89,1,12,0,repairs,1108,below100,betw4a7yrs,4,A93,none,3,realEstate,28,none,own,2,skilled/official,1,none,1,2,0,M
90,0,12,4,radio/television,618,below100,morethan7yrs,4,A93,none,4,realEstate,56,none,own,1,skilled/official,1,none,1,1,0,M
91,1,12,4,car,1409,below100,morethan7yrs,4,A93,none,3,realEstate,54,none,own,1,skilled/official,1,none,1,1,0,M
92,0,12,4,radio/television,797,unknown/nosavings,morethan7yrs,4,A92,none,3,buildingSociety/lifeInsurance,33,bank,own,1,unskilled/resident,2,none,1,2,1,F
93,3,24,4,furniture/equipment,3617,unknown/nosavings,morethan7yrs,4,A93,co-applicant,4,unknown/noProperty,20,none,rent,2,skilled/official,1,none,1,1,0,M
94,2,12,2,car,1318,above1000,morethan7yrs,4,A93,none,4,realEstate,54,none,own,1,skilled/official,1,yes,1,1,0,M
95,2,54,0,business,15945,below100,lessth1yr,3,A93,none,4,unknown/noProperty,58,none,rent,1,skilled/official,1,yes,1,2,0,M
96,0,12,4,education,2012,unknown/nosavings,betw4a7yrs,4,A92,none,2,carOrOthers,61,none,own,1,skilled/official,1,none,1,1,1,F
97,2,18,2,business,2622,betw100a500,betw1a4yrs,4,A93,none,4,carOrOthers,34,none,own,1,skilled/official,1,none,1,1,0,M
98,2,36,4,radio/television,2337,below100,morethan7yrs,4,A93,none,4,realEstate,36,none,own,1,skilled/official,1,none,1,1,0,M
99,2,20,3,car,7057,unknown/nosavings,betw4a7yrs,3,A93,none,4,buildingSociety/lifeInsurance,36,bank,rent,2,management/self-employed/highlyqualemployee/officer,2,yes,1,1,0,M
100,0,24,2,car,1469,betw100a500,morethan7yrs,4,A94,none,4,realEstate,41,none,rent,1,unskilled/resident,1,none,1,1,1,M
101,2,36,2,radio/television,2323,below100,betw4a7yrs,4,A93,none,4,carOrOthers,24,none,rent,1,skilled/official,1,none,1,1,0,M
102,0,6,3,radio/television,932,below100,betw1a4yrs,3,A92,none,2,realEstate,24,none,own,1,skilled/official,1,none,1,1,1,F
103,2,9,4,furniture/equipment,1919,below100,betw4a7yrs,4,A93,none,3,carOrOthers,35,none,rent,1,skilled/official,1,yes,1,1,0,M
104,0,12,2,car,2445,unknown/nosavings,lessth1yr,2,A94,none,4,carOrOthers,26,none,rent,1,skilled/official,1,yes,1,1,1,M
105,2,24,4,others,11938,below100,betw1a4yrs,2,A93,co-applicant,3,carOrOthers,39,none,own,2,management/self-employed/highlyqualemployee/officer,2,yes,1,2,0,M
106,0,18,1,car,6458,below100,morethan7yrs,2,A93,none,4,unknown/noProperty,39,bank,own,2,management/self-employed/highlyqualemployee/officer,2,yes,1,2,0,M
107,2,12,2,car,6078,below100,betw4a7yrs,2,A93,none,2,carOrOthers,32,none,own,1,skilled/official,1,none,1,1,0,M
108,1,24,2,furniture/equipment,7721,unknown/nosavings,lessth1yr,1,A92,none,2,buildingSociety/lifeInsurance,30,none,own,1,skilled/official,1,yes,0,1,1,F
109,2,14,2,business,1410,betw500a1000,morethan7yrs,1,A94,none,2,realEstate,35,none,own,1,skilled/official,1,yes,1,1,1,M
110,2,6,3,business,1449,betw100a500,morethan7yrs,1,A91,none,2,carOrOthers,31,bank,own,2,skilled/official,2,none,1,1,1,M
111,3,15,2,education,392,below100,lessth1yr,4,A92,none,4,buildingSociety/lifeInsurance,23,none,rent,1,skilled/official,1,yes,1,1,1,F
112,2,18,2,car,6260,below100,betw4a7yrs,3,A93,none,3,realEstate,28,none,rent,1,unskilled/resident,1,none,1,1,0,M
113,0,36,4,car,7855,below100,betw1a4yrs,4,A92,none,2,realEstate,25,stores,own,2,skilled/official,1,yes,1,2,1,F
114,1,12,2,radio/television,1680,betw500a1000,morethan7yrs,3,A94,none,1,realEstate,35,none,own,1,skilled/official,1,none,1,1,1,M
115,0,48,4,radio/television,3578,unknown/nosavings,morethan7yrs,4,A93,none,1,realEstate,47,none,own,1,skilled/official,1,yes,1,1,0,M
116,1,42,2,radio/television,7174,unknown/nosavings,betw4a7yrs,4,A92,none,3,carOrOthers,30,none,own,1,management/self-employed/highlyqualemployee/officer,1,yes,1,2,1,F
117,1,10,4,furniture/equipment,2132,unknown/nosavings,lessth1yr,2,A92,co-applicant,3,realEstate,27,none,rent,2,skilled/official,1,none,0,1,1,F
118,1,33,4,furniture/equipment,4281,betw500a1000,betw1a4yrs,1,A92,none,4,carOrOthers,23,none,own,2,skilled/official,1,none,1,2,1,F
119,2,12,4,car,2366,betw500a1000,betw4a7yrs,3,A91,none,3,carOrOthers,36,none,own,1,management/self-employed/highlyqualemployee/officer,1,yes,1,1,1,M
120,1,21,2,radio/television,1835,below100,betw1a4yrs,3,A92,none,2,realEstate,25,none,own,2,skilled/official,1,yes,1,2,1,F
121,0,24,4,car,3868,below100,morethan7yrs,4,A92,none,2,carOrOthers,41,none,rent,2,management/self-employed/highlyqualemployee/officer,1,yes,1,1,1,F
122,0,12,2,furniture/equipment,1768,below100,betw1a4yrs,3,A93,none,2,realEstate,24,none,rent,1,unskilled/resident,1,none,1,1,0,M
123,3,10,4,car,781,below100,morethan7yrs,4,A93,none,4,unknown/noProperty,63,none,forFree,2,skilled/official,1,yes,1,1,0,M
124,2,18,2,furniture/equipment,1924,unknown/nosavings,lessth1yr,4,A92,none,3,realEstate,27,none,rent,1,skilled/official,1,none,1,2,1,F
125,1,12,4,car,2121,below100,betw1a4yrs,4,A93,none,2,buildingSociety/lifeInsurance,30,none,own,2,skilled/official,1,none,1,1,0,M
126,1,12,2,radio/television,701,below100,betw1a4yrs,4,A94,none,2,realEstate,40,none,own,1,unskilled/resident,1,none,1,1,1,M
127,2,12,2,repairs,639,below100,betw1a4yrs,4,A93,none,2,carOrOthers,30,none,own,1,skilled/official,1,none,1,2,0,M
128,2,12,4,car,1860,below100,unemployed,4,A93,none,2,carOrOthers,34,none,own,2,management/self-employed/highlyqualemployee/officer,1,yes,1,1,0,M
129,1,12,4,car,3499,below100,betw1a4yrs,3,A92,co-applicant,2,realEstate,29,none,own,2,skilled/official,1,none,1,2,1,F
130,2,48,2,car,8487,unknown/nosavings,betw4a7yrs,1,A92,none,2,carOrOthers,24,none,own,1,skilled/official,1,none,1,1,1,F
131,1,36,3,education,6887,below100,betw1a4yrs,4,A93,none,3,buildingSociety/lifeInsurance,29,stores,own,1,skilled/official,1,yes,1,2,0,M
132,0,15,2,furniture/equipment,2708,below100,lessth1yr,2,A93,none,3,buildingSociety/lifeInsurance,27,bank,own,2,unskilled/resident,1,none,1,1,0,M
133,0,18,2,furniture/equipment,1984,below100,betw1a4yrs,4,A93,none,4,unknown/noProperty,47,bank,forFree,2,skilled/official,1,none,1,1,0,M
134,0,60,2,radio/television,10144,betw100a500,betw4a7yrs,2,A92,none,4,realEstate,21,none,own,1,skilled/official,1,yes,1,1,1,F
135,0,12,4,radio/television,1240,unknown/nosavings,morethan7yrs,4,A92,none,2,realEstate,38,none,own,2,skilled/official,1,yes,1,1,1,F
136,0,27,3,car,8613,above1000,betw1a4yrs,2,A93,none,2,carOrOthers,27,none,own,2,skilled/official,1,none,1,1,0,M
137,2,12,2,radio/television,766,betw500a1000,betw1a4yrs,4,A93,none,3,realEstate,66,none,own,1,unskilled/resident,1,none,1,2,0,M
138,2,15,4,radio/television,2728,unknown/nosavings,betw4a7yrs,4,A93,guarantor,2,realEstate,35,bank,own,3,skilled/official,1,yes,1,1,0,M
139,3,12,2,radio/television,1881,below100,betw1a4yrs,2,A92,none,2,carOrOthers,44,none,rent,1,unskilled/resident,1,yes,1,1,1,F
140,3,6,2,car,709,above1000,lessth1yr,2,A94,none,2,realEstate,27,none,own,1,unemployed/unskilled/non-resident,1,none,0,1,1,M
141,2,36,2,radio/television,4795,below100,lessth1yr,4,A92,none,1,unknown/noProperty,30,none,own,1,management/self-employed/highlyqualemployee/officer,1,yes,1,1,1,F
142,1,27,2,radio/television,3416,below100,betw1a4yrs,3,A93,none,2,carOrOthers,27,none,own,1,management/self-employed/highlyqualemployee/officer,1,none,1,1,0,M
143,1,18,2,furniture/equipment,2462,below100,betw1a4yrs,2,A93,none,2,carOrOthers,22,none,own,1,skilled/official,1,none,1,2,0,M
144,0,21,4,furniture/equipment,2288,below100,lessth1yr,4,A92,none,4,buildingSociety/lifeInsurance,23,none,own,1,skilled/official,1,yes,1,1,1,F
145,2,48,1,business,3566,betw100a500,betw4a7yrs,4,A93,none,2,carOrOthers,30,none,own,1,skilled/official,1,none,1,1,0,M
146,1,6,4,car,860,below100,morethan7yrs,1,A92,none,4,unknown/noProperty,39,none,own,2,skilled/official,1,yes,1,1,1,F
147,0,12,4,car,682,betw100a500,betw4a7yrs,4,A92,none,3,carOrOthers,51,none,own,2,skilled/official,1,yes,1,1,1,F
148,1,36,4,furniture/equipment,5371,below100,betw1a4yrs,3,A93,guarantor,2,buildingSociety/lifeInsurance,28,none,own,2,skilled/official,1,none,1,1,0,M
149,0,18,4,radio/television,1582,above1000,morethan7yrs,4,A93,none,4,carOrOthers,46,none,own,2,skilled/official,1,none,1,1,0,M
150,0,6,2,radio/television,1346,betw100a500,morethan7yrs,2,A93,none,4,unknown/noProperty,42,bank,forFree,1,skilled/official,2,yes,1,1,0,M
151,0,10,2,radio/television,1924,below100,betw1a4yrs,1,A93,none,4,buildingSociety/lifeInsurance,38,none,own,1,skilled/official,1,yes,0,1,0,M
152,3,36,2,radio/television,5848,below100,betw1a4yrs,4,A93,none,1,carOrOthers,24,none,own,1,skilled/official,1,none,1,1,0,M
153,2,24,4,car,7758,above1000,morethan7yrs,2,A92,none,4,unknown/noProperty,29,none,rent,1,skilled/official,1,none,1,1,1,F
154,2,24,3,business,6967,betw100a500,betw4a7yrs,4,A93,none,4,carOrOthers,36,none,rent,1,management/self-employed/highlyqualemployee/officer,1,yes,1,1,0,M
155,1,12,2,furniture/equipment,1282,below100,betw1a4yrs,2,A92,none,4,carOrOthers,20,none,rent,1,skilled/official,1,none,1,2,1,F
156,1,9,4,repairs,1288,betw100a500,morethan7yrs,3,A93,guarantor,4,realEstate,48,none,own,2,skilled/official,2,none,0,1,0,M
157,1,12,1,retraining,339,below100,morethan7yrs,4,A94,none,1,carOrOthers,45,bank,own,1,unskilled/resident,1,none,1,1,1,M
158,2,24,2,car,3512,betw100a500,betw4a7yrs,2,A93,none,3,carOrOthers,38,bank,own,2,skilled/official,1,yes,1,1,0,M
159,0,6,4,radio/television,1898,unknown/nosavings,betw1a4yrs,1,A93,none,2,realEstate,34,none,own,2,unskilled/resident,2,none,1,1,0,M
160,0,24,4,radio/television,2872,betw100a500,morethan7yrs,3,A93,none,4,realEstate,36,none,own,1,skilled/official,2,yes,1,1,0,M
161,0,18,4,car,1055,below100,lessth1yr,4,A92,none,1,buildingSociety/lifeInsurance,30,none,own,2,skilled/official,1,none,1,1,1,F
162,0,15,2,domesticAppliances,1262,betw500a1000,betw4a7yrs,4,A93,none,3,buildingSociety/lifeInsurance,36,none,own,2,skilled/official,1,yes,1,1,0,M
163,2,10,2,car,7308,below100,unemployed,2,A93,none,4,unknown/noProperty,70,bank,forFree,1,management/self-employed/highlyqualemployee/officer,1,yes,1,1,0,M
164,0,36,2,car,909,betw500a1000,morethan7yrs,4,A93,none,4,buildingSociety/lifeInsurance,36,none,own,1,skilled/official,1,none,1,1,0,M
165,0,6,2,furniture/equipment,2978,betw500a1000,betw1a4yrs,1,A93,none,2,carOrOthers,32,none,own,1,skilled/official,1,yes,1,1,0,M
166,1,18,2,furniture/equipment,1131,below100,unemployed,4,A92,none,2,carOrOthers,33,none,own,1,skilled/official,1,none,1,2,1,F
167,2,11,2,furniture/equipment,1577,above1000,lessth1yr,4,A92,none,1,realEstate,20,none,own,1,skilled/official,1,none,1,1,1,F
168,0,24,2,furniture/equipment,3972,below100,betw4a7yrs,2,A92,none,4,buildingSociety/lifeInsurance,25,none,rent,1,skilled/official,1,yes,1,1,1,F
169,2,24,4,business,1935,below100,morethan7yrs,4,A91,none,4,realEstate,31,none,own,2,skilled/official,1,yes,1,2,1,M
170,1,15,0,car,950,below100,morethan7yrs,4,A93,none,3,carOrOthers,33,none,rent,2,skilled/official,2,none,1,2,0,M
171,0,12,2,furniture/equipment,763,below100,betw1a4yrs,4,A92,none,1,realEstate,26,none,own,1,skilled/official,1,yes,1,1,1,F
172,2,24,3,furniture/equipment,2064,below100,unemployed,3,A92,none,2,buildingSociety/lifeInsurance,34,none,own,1,management/self-employed/highlyqualemployee/officer,1,yes,1,2,1,F
173,2,8,2,radio/television,1414,below100,betw1a4yrs,4,A93,guarantor,2,realEstate,33,none,own,1,skilled/official,1,none,0,1,0,M
174,1,21,3,education,3414,below100,lessth1yr,2,A93,none,1,buildingSociety/lifeInsurance,26,none,own,2,skilled/official,1,none,1,2,0,M
175,0,30,1,car,7485,unknown/nosavings,unemployed,4,A92,none,1,realEstate,53,bank,own,1,management/self-employed/highlyqualemployee/officer,1,yes,1,2,1,F
176,1,12,2,furniture/equipment,2577,below100,betw1a4yrs,2,A91,none,1,carOrOthers,42,none,own,1,skilled/official,1,none,1,1,1,M
177,1,6,4,radio/television,338,betw500a1000,morethan7yrs,4,A93,none,4,carOrOthers,52,none,own,2,skilled/official,1,none,1,1,0,M
178,0,12,2,radio/television,1963,below100,betw4a7yrs,4,A93,none,2,carOrOthers,31,none,rent,2,management/self-employed/highlyqualemployee/officer,2,yes,1,1,0,M
179,1,21,4,car,571,below100,morethan7yrs,4,A93,none,4,realEstate,65,none,own,2,skilled/official,1,none,1,1,0,M
180,0,36,3,business,9572,below100,lessth1yr,1,A91,none,1,carOrOthers,28,none,own,2,skilled/official,1,none,1,2,1,M
181,2,36,3,business,4455,below100,betw1a4yrs,2,A91,none,2,realEstate,30,stores,own,2,management/self-employed/highlyqualemployee/officer,1,yes,1,2,1,M
182,1,21,1,car,1647,unknown/nosavings,betw1a4yrs,4,A93,none,2,buildingSociety/lifeInsurance,40,none,own,2,unskilled/resident,2,none,1,2,0,M
